Judul,Isi,Tanggal,Kategori
Karyawan Boeing Akhiri Mogok Kerja usai Sepakat Gaji Naik 43 Persen,"Ribuan pekerja Boeing akhirnya mengakhiri mogok kerja yang berlangsung selama tujuh pekan usai menyetujui tawaran kenaikan gaji dari perusahaan.
Hal itu mengakhiri mogok kerja terlama dan termahal di Amerika Serikat (AS) selama lebih dari dua dekade terakhir.
Dalam pemungutan suara yang dilakukan Senin (4/11) lalu, 59 persen anggota serikat pekerja International Association of Machinists (IAM) setuju menerima kesepakatan dengan kenaikan gaji yang signifikan.
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
Presiden Asosiasi Internasional Ahli Mesin dan Pekerja Dirgantara (IAM) lokal terbesar di Boeing, Jon Holden, menyebut kesepakatan ini sebagai pencapaian penting bagi para pekerja.

""Saya bangga dengan anggota kami. Ini adalah kemenangan besar. Mereka telah meraih banyak hal dan siap untuk kembali bekerja,"" ujar Holden.
Ia menambahkan banyak anggota yang merasa siap untuk mengakhiri aksi mogok dan kembali ke pekerjaan mereka.
Dalam kesepakatan baru ini, Boeing memberikan kenaikan gaji langsung sebesar 13 persen untuk para pekerja, yang akan diikuti dengan kenaikan 9 persen setiap tahun selama dua tahun berikutnya, dan tambahan 7 persen di tahun keempat.
Secara total, pekerja akan menerima kenaikan gaji lebih dari 43 persen selama masa kontrak.

Selain itu, mereka juga menerima bonus ratifikasi sebesar US$12 ribu atau senilai Rp188,7 juta (perkiraan kurs Rp15.730 per dolar AS), yang sebagian bisa dimasukkan ke dalam akun pensiun 401(k) mereka.
Namun, di balik kesepakatan tersebut, isu mengenai pengembalian program pensiun tradisional tetap menjadi sumber kekecewaan bagi sebagian pekerja.
Para pekerja sebelumnya kehilangan akses ke rencana pensiun manfaat pasti (defined benefit plan) pada 2014, dan meskipun Boeing meningkatkan kontribusi ke akun pensiun individu, perusahaan tetap menolak untuk mengembalikan program pensiun lama yang sebelumnya diinginkan oleh para pekerja.
""Banyak dari anggota kami masih berjuang untuk mengembalikan pensiun. Ini adalah perjuangan yang sah,"" ujar Holden, menyoroti sekitar 41 persen dari anggota serikat tetap menolak tawaran tersebut karena masalah ini.

CEO Boeing Kelly Ortberg menyambut baik kesepakatan yang dicapai. Ia juga meyakinkan perusahaan siap melangkah maju bersama para pekerja.
""Meskipun beberapa bulan terakhir sulit bagi kita semua, kita adalah bagian dari tim yang sama. Kami hanya bisa maju dengan mendengarkan dan bekerja bersama,"" ungkapnya.
Mogok kerja yang melibatkan sekitar 33 ribu pekerja ini memberikan dampak signifikan bagi Boeing dan industri penerbangan.
Kerugian Boeing diperkirakan mencapai US$6,5 miliar atau senilai Rp102,2 triliun akibat terhentinya produksi pesawat selama mogok kerja berlangsung, dan lebih dari US$11,5 miliar atau setara dengan Rp180,8 triliun bagi perekonomian AS secara keseluruhan.
Mogok kerja ini juga berdampak pada banyak pemasok Boeing di seluruh Amerika Serikat yang harus menghentikan produksi sementara.

Selain itu, industri penerbangan juga mengalami dampak langsung dari tertundanya pengiriman pesawat baru ke maskapai.
Perusahaan tidak hanya menunda produksi jet penumpang 737 Max, tetapi juga menunda pengiriman pesawat kargo, yang menjadi sumber pendapatan utama perusahaan.
Akibatnya, banyak maskapai harus menghadapi keterlambatan dalam jadwal penerimaan armada baru mereka, yang semakin memperpanjang masalah produksi dan kualitas yang dihadapi Boeing.
Dengan kesepakatan ini, para pekerja akan mulai kembali bekerja pada Rabu mendatang, di mana Ortberg berjanji berupaya membangun kembali hubungan dengan serikat pekerja dan meningkatkan kinerja perusahaan.
[Gambas:Video CNN]

","Selasa, 05 Nov 2024 22:06 WIB",Kategori tidak ditemukan
"Pakar: BPA Bahaya Bagi Kesehatan, Jangan Dianggap Isu Persaingan Usaha","Bahaya paparan Bisphenol A (BPA) dalam wadah pembungkus makanan terhadap kesehatan telah menjadi perhatian pakar kesehatan di seluruh dunia. Sejumlah riset internasional menunjukkan paparan BPA dalam jangka panjang bisa berdampak serius pada kesehatan.
Sekretaris Jenderal Pengurus Besar Ikatan Dokter Indonesia (PB IDI), dr. Ulul Albab, SpOG meminta upaya membelokkan bahaya BPA pada kesehatan menjadi sekadar isu persaingan usaha sebaiknya dihentikan.
""Kita tidak bisa membelokkan bahwa ini adalah persaingan usaha atau tidak. Karena concern kita, baik Ikatan Dokter Indonesia (IDI), apalagi Badan Pengawas Obat dan Makanan (BPOM) sebagai lembaga negara, akademisi, maupun praktisi, bahwa concern terkait bagaimana kita melindungi masyarakat Indonesia menjadi yang utama dari semua semua alasan yang lain,"" kata dr. Ulul dikutip Selasa (5/11).
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
Bukan hanya itu, dengan tegas dr. Ulul yang juga spesialis obstetri dan ginekologi menolak pihak-pihak tertentu yang mengaitkan BPA dengan isu persaingan usaha, lalu membandingkannya dengan saat meledaknya kasus Covid di Indonesia.
""Dulu ketika Covid dan banyak yang meninggal, maka isu Covid dibelokkan menjadi isu yang macam-macam,"" katanya.
Dia menegaskan, IDI merupakan lembaga profesional dan apa yang sudah dilakukan oleh BPOM (dengan regulasi pelabelan peringatan bahaya BPA pada galon dengan kemasan polikarbonat) adalah satu hal yang positif dan harus didukung.
""Ketika kita mengatakan BPA bermasalah, memang itulah faktanya. Semua negara, bukan hanya Indonesia menyampaikan hal itu,"" kata dr. Ulul.Menurutnya, posisi IDI sebagai lembaga profesi untuk para dokter adalah menyampaikan hal yang sebenar-benarnya.
""Apakah diterima atau tidak adalah nomor dua, tapi yang pasti kita harus berani menyampaikan ada masalah terkait dengan apa yang dialami masyarakat, dan harus kita suarakan,"" kata dia.
Ia juga menambahkan bahwa IDI sudah cukup lama membahas soal BPA dan mendukung regulasi pelabelan yang dikeluarkan oleh BPOM RI.
""Pada 11 Agustus 2022, saya mengeluarkan statement bahwa kita mendukung pelabelan BPA pada semua kemasan makanan. Seringkali kita concern pada apa yang kita makan. Tetapi kita jarang concern dengan bagaimana makanan itu dibungkus, di-package atau diwadahi. Jadi kita bukan hanya bicara masalah air, tapi juga makanan,"" katanya.
IDI punya kepedulian untuk memberikan edukasi kepada masyarakat terkait BPA berdasarkan fakta ilmiah.
""Karena sifatnya hormonal distructor maka BPA bisa memengaruhi segala sesuatu, baik laki maupun perempuan. Bahkan sampai laki dan perempuan bisa infertile (mandul atau tidak punya keturunan),"" katanya.
Bahaya BPA ini sebenarnya sudah diatur secara ketat oleh BPOM, kata dr. Ulul, hal ini bisa dilihat dari sejumlah regulasi BPOM untuk membuat masyarakat melek pada kemasan yang dilabeli peringatan kandungan BPA.
Meskipun belum melarang BPA, setidaknya kebijakan terbaru BPOM adalah langkah awal yang baik, sebagaimana bisa dilihat dari Peraturan BPOM Nomor 6 Tahun 2024 Tentang Perubahan Kedua atas Peraturan Badan Pengawas Obat dan Makanan Nomor 31 Tahun 2018 tentang Label Pangan Olahan.
""Pro dan kontra pasti ada, dan ini adalah hal yang wajar,"" katanya.
""Kewajiban kita adalah bagaimana memberikan informasi yang sebenar-benarnya. Kalau bahaya katakan bahaya, tanpa harus ditutupi,"" kata dr. Ulul.
Dalam forum yang sama, pakar polimer Universitas Indonesia Prof Dr Mochamad Chalid, SSi, MSc.Eng menyampaikan bahwa proses distribusi dan bagaimana kemasan polikarbonat diperlakukan sangat memengaruhi proses pencemaran senyawa BPA dari kemasan polikarbonat ke dalam produk air minum.
""Ibaratnya, polimer seperti untaian kalung. Satu mata rantai dari kalung tersebut di antaranya adalah BPA. Pada saat digunakan, akan sangat mungkin tali tersebut ada yang copot, sehingga menimbulkan permasalahan,"" jelas Chalid.
Chalid mengingatkan, ada banyak faktor yang dapat meningkatkan risiko terjadinya leaching atau peluruhan BPA dalam kemasan polikarbonat ke dalam air minum di dalamnya.
Misalnya seperti paparan cahaya matahari dalam proses distribusi, suhu tinggi, hingga proses pencucian terus menerus yang tidak tepat, lalu digunakan kembali.
Hal ini sejalan dengan hasil pemeriksaan BPOM pada fasilitas produksi air minum berkemasan polikarbonat periode 2021-2022 yang menunjukkan, kadar BPA yang bermigrasi pada air minum lebih dari 0,6 ppm (standar BPOM) meningkat berturut-turut hingga 4,58 persen.
Begitu pula dengan hasil pengujian migrasi BPA di ambang 0,05-0,6 ppm, meningkat berturut-turut hingga 41,56 persen.","Selasa, 05 Nov 2024 21:57 WIB",Kategori tidak ditemukan
Respons AHY dan Nusron soal Pelantikan Basuki Jadi Bos IKN,"Menteri Koordinator Infrastruktur dan Pembangunan Kewilayahan Agus Harimurti Yudhoyono (AHY) dan Menteri ATR/Kepala BPN Nusron Wahid merespons pelantikan Kepala Otorita IKN Basuki Hadimuljono.
Keduanya menyambut baik jabatan baru yang diemban mantan menteri pekerjaan umum dan perumahan rakyat (PUPR) itu. Apalagi, AHY menekankan Kemenko Infrastruktur pasti berkoordinasi dengan OIKN.
""Banyak sekali tugas-tugas, termasuk ruang tanggung jawab yang bisa saling dikoordinasikan. Karena pembangunan infrastruktur di IKN juga harus dikawal,"" kata AHY dalam Konferensi Pers di Kementerian ATR/BPN, Jakarta Selatan, Selasa (5/11).
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
""Yang dikehendaki oleh Bapak Presiden Prabowo (Subianto) tentu melanjutkan (pembangunan IKN), dengan fokus pada penyelesaian pusat eksekutif, legislatif, dan juga yudikatif. Ini sebagai bagian utama dari pusat pemerintahan ke depan,"" tuturnya.

AHY menegaskan dirinya pasti terus bekerja sama dengan Kepala OIKN Basuki Hadimuljono. Ia menyebut cakupan koordinasi Kemenko Infrastruktur dan Pembangunan Kewilayahan juga termasuk Otorita IKN.
Sementara itu, Menteri ATR/Kepala BPN Nusron Wahid merespons singkat penunjukkan Basuki menjadi kepala definitif OIKN. Ia memuji sosok mantan menteri PU itu.
""Pak Basuki (Hadimuljono) orang baik, top!"" tegas Nusron.
Basuki Hadimuljono dilantik secara resmi sebagai kepala OIKN definitif oleh Presiden Prabowo Subianto di Istana Negara, Jakarta Pusat. Sebelumnya, Basuki adalah plt kepala Otorita IKN sejak Juni 2024 usai Bambang Susantono mengundurkan diri.
Ia diangkat berdasarkan Keppres Nomor 151/P Tahun 2024 tentang Pengangkatan Kepala OIKN yang ditetapkan pada 4 November 2024.
[Gambas:Video CNN]","Selasa, 05 Nov 2024 21:28 WIB",Kategori tidak ditemukan
Airlangga soal Ekonomi Kuartal III Tumbuh di Bawah 5 Persen: Musiman,"Menteri Koordinator Bidang Perekonomian Airlangga Hartarto mengatakan pertumbuhan ekonomi pada kuartal III-2024 yang tak sampai 5 persen disebabkan oleh faktor musiman.
Berdasarkan data Badan Pusat Statistik (BPS), perekonomian Indonesia tumbuh 4,95 persen secara year on year (yoy) pada kuartal III tahun ini. Angka ini lebih tinggi dari kuartal III-2023 yang sebesar 4,94 persen, tetapi lebih rendah dibandingkan kuartal II-2024 sebesar 5,05 persen.
""Dalam siklus pertumbuhan ekonomi ini, kuartal ketiga tidak terdapat hari besar atau event besar seperti liburan keagamaan atau liburan sekolah, sehingga memang kuartal ketiga cenderung seperti itu,"" ujar Airlangga dalam konferensi pers di kantornya, Selasa (5/11).
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
Meski demikian, ia optimis pertumbuhan ekonomi sepanjang tahun ini bakal tetap berada di atas 5 persen. Dalam APBN 2024 pemerintah menargetkan perekonomian bisa tumbuh 5,2 persen. Optimisme ini muncul sebab secara kumulatif periode Januari-September 2024, perekonomian masih berhasil tumbuh 5,03 persen.

""Artinya, dengan pertumbuhan 5,03 persen, kita masih bisa berharap perekonomian kita bisa menjaga levelnya di angka 5 persen pada akhir tahun, sesuai dengan target APBN,"" jelasnya.
Untuk menggenjot perekonomian lebih tinggi lagi, terutama pada kuartal IV, maka pemerintah berupaya memperbaiki daya beli masyarakat yang turun. Hal ini tercermin dari konsumsi rumah tangga hanya tumbuh 4,91 persen, lebih rendah dari kuartal II sebesar 4,93 persen.
Kebijakan yang bakal ditempuh pemerintah, kata Airlangga, adalah memperpanjang insentif perpajakan hingga akhir tahun, di antaranya PPN DTP untuk properti, PPnBM DTP untuk mobil listrik hingga FLPP (Fasilitas Likuiditas Pembiayaan Perumahan).

""Pemerintah juga sedang mempersiapkan pemanfaatan dana dari jaminan kecelakaan kerja dan mendorong kewirausahaan melalui KUR,"" jelasnya.
Selain itu, pemerintah juga bakal mencegah terjadinya Pemberhentian Hubungan Kerja (PHK) besar-besaran, terutama di sektor usaha tekstil.
""Nah tentu kita dorong beberapa kebijakan, salah satu adalah mencegah terjadinya PHK. Pemerintah akan memperhatikan kebijakan yang akan diambil. Terutama pada saat 1-2 bulan ke depan sedang mempersiapkan insentif yang bisa didorong di sektor padat karya,"" pungkasnya.
[Gambas:Video CNN]","Selasa, 05 Nov 2024 21:03 WIB",Kategori tidak ditemukan
"Tak Lagi BUMN, Bulog Bakal Jadi Badan Otonom di Bawah Presiden","Direktur Utama Perum Bulog Wahyu Suparyono mengatakan Bulog akan diubah menjadi badan otonom yang berada langsung di bawah presiden. Dengan begitu, Bulog tidak akan lagi berstatus sebagai Badan Usaha Milik Negara (BUMN).
""Nanti Bulog jadi lembaga pemerintahan lainnya, di bawah presiden. Enggak (berstatus BUMN lagi) dong,"" katanya di Kompleks MPR/DPR, Senayan, Jakarta, Selasa (5/11).
Menurutnya, Bulog akan sama seperti Badan Gizi Nasional yang berada langsung di bawah presiden. Ia pun membantah kabar bahwa Bulog akan berada di bawah Kementerian Pertanian (Kementan).
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
""Kurang lebih (seperti Badan Gizi). Saya tidak ada perintah (di bawah Kementan). Saya diminta Pak Presiden menyiapkan transformasi kelembagaan,"" katanya.

Menurutnya, transformasi Bulog nantinya akan diatur dalam Keputusan Presiden (Keppres).
Wahyu bercerita ia memang diminta khusus oleh Prabowo untuk memimpin BUMN pangan tersebut, menggantikan posisi Bayu Krisnamurthi. Pada 28 Agustus lalu, ia ditelepon Prabowo yang saat itu masih menjadi presiden terpilih.
""Pak Prabowo secara khusus telepon saya 28 Agustus, Mas Wahyu masuk Bulog, benerin semua. (Saya bilang) 'siap presiden terpilih',"" kata Wahyu.
Ia mengatakan Prabowo memberikannya tugas untuk menyukseskan swasembada pangan. Apalagi Wahyu pernah menjabat sebagai direktur operasional Bulog.

""Saya diminta Pak Presiden Prabowo kalau konkretnya persiapan transisi secara khusus saya diperintahkan 'Mas Wahyu, transformasi kelembagaan Bulog. Mas Wahyu pernah direktur operasional, tugas khusus swasembada pangan',"" imbuhnya.
Wahyu memang bukanlah orang baru di lingkungan BUMN. Ia pernah menempati posisi Direktur Utama Asabri pada 2020. Pada 2017-2020, ia pernah menjabat sebagai Direktur Utama PT Dok dan Perkapalan Kodja Bahari (Persero). Jabatan terakhir sebelum diangkat menjadi direktur utama Asabri.
Lalu, pada 2016-2017, ia juga pernah menjabat sebagai Direktur SDM dan Umum Perum Bulog. Di mana, sebelumnya, pada 2015-2018 ia ditetapkan sebagai Komisaris Utama PT Jasa Prima Logistik (JPL) Bulog.
Pria kelahiran 17 Oktober di Magelang ini juga pernah menjadi Direktur Operasional dan Pelayanan Publik Perum Bulog pada 2015-2016, dan tercatat juga sebagai Direktur Utama PT Perusahaan Perdagangan Indonesia pada 2014-2015.
[Gambas:Video CNN]","Selasa, 05 Nov 2024 20:46 WIB",Kategori tidak ditemukan
"Kebijakan Hapus Utang Tak Berlaku Buat Semua UMKM, Apa Kriterianya?","Menteri Usaha Mikro, Kecil, dan Menengah (UMKM) Maman Abdurrahman menekankan kebijakan hapus utang macet di masa lalu tidak diberikan ke seluruh pelaku UMKM, termasuk petani dan nelayan di Indonesia.
""Tidak semua pelaku UMKM kita hapuskan utang piutangnya, ini (buat) memang betul-betul tidak bisa tertolong kembali,"" kata Maman di Istana Kepresidenan Jakarta, Selasa (5/11).
Maman menegaskan kebijakan itu hanya menyasar para pelaku UMKM, nelayan, petani yang terdata sementara di mana jumlahnya kurang lebih 1 juta orang.
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
Satu jutaan orang itu merupakan pelaku UMKM di bidang perikanan dan pertanian yang terpuruk akibat dampak dari pandemi covid-19) hingga bencana alam.

Maman pun merinci kebijakan ini hanya untuk para pelaku UMKM, nelayan, dan petani yang berutang Rp500 juta bagi badan usaha, serta Rp300 juta untuk utang perseorangan.
Ia menyebut hapus buku dan hapus tagih utang lama UMKM adalah bagian dari stimulus pemerintah. Kebijakan ini dilakukan demi memastikan kegiatan ekonomi bisa berputar kembali.
""Jadi ini yang memang yang betul-betul sudah tidak memiliki kemampuan lagi, dan itu rentangnya sekitar 10 tahunan,"" ujarnya.

Presiden Prabowo Subianto resmi menghapus utang masa lalu UMKM, termasuk petani dan nelayan. Kebijakan itu tertuang dalam PP Nomor 47 Tahun 2024 yang diteken pada hari ini, Selasa (5/11).
Prabowo menyebut keputusan itu ia ambil usai mendengar banyak aspirasi dari kelompok tani hingga UMKM. Ia berharap kebijakan itu dapat membantu rakyat khususnya produsen yang bekerja di bidang pertanian UMKM dan nelayan yang merupakan produsen pangan.
Adapun perihal hal-hal teknis seperti persyaratan untuk penghapusan kredit atau utang macet akan didetailkan melalui aturan di kementerian/lembaga terkait.
[Gambas:Video CNN]
","Selasa, 05 Nov 2024 20:22 WIB",Kategori tidak ditemukan
"1,3 Juta Ha Lahan Terlantar Bisa Buat Bangun 3 Juta Rumah Prabowo","Menteri ATR/ Kepala BPN Nusron Wahid mengungkapkan negara punya 1,3 juta hektare (ha) tanah terlantar yang bisa digunakan untuk membangun 3 juta rumah.
""Kalau kami (ATR/BPN) itu punya tanah terlantar, potensi terlantar selama 5 tahun ke depan ini 1,3 juta hektare. Banyak kan? Kalau dibuat kuburan muat berapa orang itu,"" ungkapnya di Kementerian ATR/BPN, Jakarta Selatan, Selasa (5/11).
""Cuma kita belum tahu apakah 1,3 juta hektare ini ada berapa yang cocok untuk perumahan. Kan enggak mungkin bekas kebun kelapa sawit dipakai untuk rumah. Tanah itu kita pasti carikan lokasi yang bagus, yang bisa layak untuk tempat tinggal,"" imbuh Nusron.
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
Ia paham bahwa Presiden Prabowo Subianto memiliki program membangun 3 juta rumah per tahun. Rinciannya, 2 juta rumah di desa dan 1 juta apartemen di perkotaan.

Program tersebut ditugaskan kepada Menteri Perumahan dan Kawasan Permukiman Maruarar Sirait. Nusron menyebut Menteri Ara telah menanyakan kepada ATR/BPN soal potensi tanah terlantar tersebut untuk didirikan rumah.
""Bagaimana legalisasinya? Kalau itu sepanjang sudah masuk kategori tanah terlantar, itu masuk tanah negara. Tinggal nanti negara memberikan hak pengelolaan (HPL). Kepada siapa, kita bisa serahkan kepada land bank (Badan Bank Tanah),"" jelasnya.
""Nanti pembangunan rumahnya menggunakan hak di atas hak, yaitu hak guna bangunan (HGB) di atas HPL. (Masyarakat pembeli rumah dapat HGB bukan SHM?) ya namanya tanah, nanti dapatnya HGB,"" tegas Nusron.

Nusron menegaskan tanah terlantar itu tidak termasuk lahan sitaan koruptor. Ia menyebut lahan di ATR/BPN adalah eks HGB dan hak guna usaha (HGU) yang sudah selesai penggunaannya.
""Ketika (HGU/HGB) gak diperpanjang itu masuk kategori tanah terlantar. Kemudian, diserahkan kepada orang lain atau pihak yang membutuhkan,"" tutupnya.
[Gambas:Video CNN]
","Selasa, 05 Nov 2024 19:59 WIB",Kategori tidak ditemukan
"2,9 Juta Ton Beras Impor Banjiri RI per Oktober 2024","Perum Bulog mencatat 2,9 juta ton beras impor telah masuk ke Indonesia per Oktober 2024. Beras impor berasal dari Kamboja, Myanmar, Pakistan, Thailand, dan Vietnam.
""Beras impor kami ambil dari berbagai negara dan melalui proses tender,"" kata Direktur Utama Bulog Wahyu Suparyono dalam rapat kerja dengan Komisi IV DPR, Selasa (5/11).
Wahyu merinci beras impor dari Kamboja sebanyak 22.500 ton, Myanmar 451.468 ton, Pakistan 388.675 ton, Thailand 1,04 juta ton, dan Vietnam 1,02 juta ton.
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
Ia menjelaskan beras impor 2,9 juta ton beras impor itu merupakan gabungan dari 3,6 juta ton penugasan tahun ini dan carry over tahun lalu.

Sementara sisanya, sambung Wahyu, akan ada sekitar 1 juta ton beras impor yang akan masuk hingga akhir tahun ini. Hal itu senada dengan pernyataan Menteri Koordinator Pangan Zulkifli Hasan (Zulhas).
""Impor termasuk carry over tahun lalu. (1 juta bakal masuk) termasuk carry over. Sekarang sedang proses, harus masuk di Desember pertengahan,"" imbuhnya.
Sebelumnya, Zulhas mengatakan akan ada 1 juta ton beras impor yang akan masuk. Rinciannya 150 ribu ton akan tiba di Indonesia dalam waktu dekat, sedangkan 850 ribu ton akan coba dikejar sampai akhir tahun ini.
Beras impor akan digunakan untuk Cadangan Beras Pemerintah (CBP) yang ditargetkan sebanyak 2 juta ton akhir tahun ini.
""Ya memang sekarang sekurang-kurangnya 2 juta ton (di akhir tahun 2024), yang belum itu 850 ribu ton. Ya tentu ini akan dikejar, kalau bisa tahun ini selesai, 850 ribu ton itu bisa masuk semua,"" kata Zulhas saat melakukan peninjauan di gudang beras Bulog Sunter Timur, Jakarta Utara, dikutip CNBC, Senin (4/11).
[Gambas:Video CNN]","Selasa, 05 Nov 2024 19:28 WIB",Kategori tidak ditemukan
Waspada Tawaran Pelunasan Utang Pinjol Agar Tak Makin Terpuruk,"Satuan Tugas Pemberantasan Aktivitas Keuangan Ilegal (Satgas PASTI) mengingatkan masyarakat untuk waspada terhadap tawaran pelunasan utang pinjaman online (pinjol) yang justru merugikan para korban.
""Pihak tersebut menawarkan kepada para korban untuk melunasi utang pada pinjaman online sebelumnya dengan cara membantu mengajukan utang baru di pinjaman online lainnya,"" ujar Sekretariat Satgas PASTI Hudiyanto dalam keterangan resmi, Selasa (5/11).
Tawaran itu mengklaim akan mengurus dan menyelesaikan seluruh utang pinjol korban. Namun, setelah korban menyerahkan sejumlah dana sebagai imbal jasa, penyelesaian utang yang dijanjikan ternyata tidak terpenuhi, sehingga korban terjebak dalam lingkaran utang yang semakin besar.
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
""Pada kenyataannya, pihak tersebut tidak memenuhi tawaran yang telah dijanjikan, sehingga utang korban tidak terselesaikan dan justru semakin bertambah banyak dengan adanya utang baru,"" ujarnya.

Karenanya, Satgas PASTI mengimbau masyarakat agar tidak tergiur dengan tawaran pelunasan utang ini, yang hanya akan memperparah kondisi keuangan para korban.
Masyarakat disarankan untuk menghubungi pihak berwenang atau lembaga keuangan resmi yang berlisensi jika membutuhkan bantuan terkait pengelolaan utang, daripada mempercayai pihak-pihak tak resmi yang berpotensi menipu.
Sejak berdiri pada 2017, hingga 30 September 2024, Satgas telah menghentikan 11.398 entitas keuangan ilegal. Dari jumlah tersebut, 1.528 merupakan entitas investasi ilegal, 9.610 terkait pinjaman online ilegal atau pinpri, dan 251 entitas gadai ilegal.

Untuk itu, Satgas PASTI mengimbau masyarakat agar selalu berhati-hati dan tidak menggunakan layanan pinjol atau pinpri ilegal, mengingat risiko besar, termasuk penyalahgunaan data pribadi.
Masyarakat juga diminta untuk lebih waspada terhadap penawaran investasi yang beredar di media sosial, terutama Telegram, yang kerap digunakan sebagai saluran oleh pelaku penipuan dengan modus impersonation.
[Gambas:Video CNN]

","Selasa, 05 Nov 2024 19:03 WIB",Kategori tidak ditemukan
PNM Peduli Wujudkan Cinta Puspa dan Satwa,"Permodalan Nasional Madani (PNM) melalui PNM Peduli sebagai bagian Tanggung Jawab Sosial dan Lingkungan (TJSL) terus berupaya melestarikan puspa dan satwa nasional. Hingga Oktober 2024, PNM melakukan penanaman 286.461 pohon dari berbagai jenis, termasuk terumbu karang.
Keberhasilan berbagai program PNM Peduli dalam aspek keanekaragaman hayati tak terlepas dari berkat kolaborasi dengan berbagai pihak untuk mendukung komitmen yang sejalan dengan fokus PNM, yaitu membantu mencapai 17 indikator Sustainable Development Goals (SDGs) dan bagian dari implementasi ESG Perusahaan.
Untuk itu, Direktur Utama PNM Arief Mulyadi mengajak seluruh masyarakat untuk merayakan Hari Cinta Puspa dan Satwa Nasional yang jatuh setiap 5 November, antara lain melalui aktifitas pengelolaan sumber daya alam dan lingkungan yang berkelanjutan.
ADVERTISEMENT
SCROLL TO CONTINUE WITH CONTENT
""Ikhtiar kami untuk membantu menyukseskan komitmen pemerintah dalam pengurangan emisi karbon. Tapi lebih dari itu, beberapa jenis tanaman kami tanam memberi dampak bagi ekonomi keluarga prasejahtera,"" kata Arief.
Adapun tanaman pangan yang telah ditanam PNM itu termasuk yang bisa langsung dimanfaatkan hasilnya, seperti bibit buah-buahan dan cabai. Selain itu, masih ada beberapa pohon lain dapat menjadi sumber penghasilan tambahan masyarakat sekitar.
""Hasil panen dari pohon buah dan sayur ataupun pohon kayu-kayuan dapat dikonsumsi oleh warga. Jika hasil panen melimpah ruah bisa dijual, jadi pemasukan tambahan juga. Produk jualan nasabah PNM Mekaar yang ada di lokasi penanaman jadi bisa lebih variatif,"" papar Arief.
Sebagai lembaga negara yang bertugas memberikan pembiayaan dan pendampingan berkelanjutan terhadap perempuan prasejahtera pelaku UMKM agar lebih berdaya. Pembiayaan dan pendampingan secara berkesinambungan ini yang menjadi pembeda PNM dengan lembaga pembiayaan lain.
","Selasa, 05 Nov 2024 18:58 WIB",Kategori tidak ditemukan
